job_state,job_region,Sector,Company_Age,Avg_Company_Size,Job_Title,Avg_Salary,Max_Salary,Usr_Rating,Python_y_n,R_y_n,Spark_y_n,AWS_y_n,Excel_y_n
NM,Southwest,Aerospace & Defense,47,750,Data Scientist,72.0,91,3.8,1,0,0,0,1
MD,Northeast,Health Care,36,10000,Data Scientist,87.5,112,3.4,1,0,0,0,0
FL,Southeast,Business Services,10,750,Data Scientist,85.0,90,4.8,1,0,1,0,1
WA,West,"Oil, Gas, Energy & Utilities",55,3000,Data Scientist,76.5,97,3.8,1,0,0,0,0
NY,Northeast,Business Services,22,125,Data Scientist,114.5,143,2.9,1,0,0,0,1
TX,Southwest,Real Estate,20,350,Data Scientist,95.0,119,3.4,1,0,0,1,1
MD,Northeast,Finance,12,750,Data Scientist,73.5,93,4.1,0,0,0,0,1
CA,West,Business Services,15,350,Data Scientist,114.0,142,3.8,1,0,1,1,1
NY,Northeast,Health Care,6,10000,Research Scientist,61.0,84,3.3,0,0,0,0,0
NY,Northeast,Information Technology,11,125,Data Scientist,140.0,160,4.6,1,0,1,0,0
CA,West,Retail,9,750,Data Scientist,163.5,201,3.5,1,0,0,0,0
VA,Southeast,Business Services,52,7500,Data Scientist,85.0,106,4.1,0,0,0,0,0
TX,Southwest,Retail,58,10000,Data Scientist,139.0,172,3.2,0,0,0,0,0
WA,West,Business Services,8,350,Data Analyst,65.5,85,4.1,1,0,1,1,1
MA,Northeast,Biotech & Pharmaceuticals,239,10000,Data Scientist,113.5,144,3.7,1,0,1,0,0
NJ,Northeast,Media,25,3000,Data Engineer,146.0,190,3.6,0,0,0,0,1
MA,Northeast,Biotech & Pharmaceuticals,9,125,Research Scientist,102.0,137,3.9,0,0,0,0,1
CA,West,Information Technology,9,350,Data Scientist,153.5,189,4.3,1,0,1,1,1
CA,West,Information Technology,10,125,Data Scientist,142.5,175,4.2,0,0,0,0,0
CO,West,Insurance,105,750,Data Scientist,87.5,111,4.0,1,0,0,0,1
WA,West,Information Technology,8,350,Data Scientist,105.5,130,3.2,1,0,1,0,0
TX,Southwest,Insurance,7,350,Data Scientist,96.0,119,3.9,0,0,0,0,1
IL,Midwest,Transportation & Logistics,25,750,Data Scientist,112.5,139,3.8,1,0,0,1,1
KY,Southeast,Transportation & Logistics,85,125,Data Scientist,84.0,105,4.3,1,0,0,0,1
VA,Southeast,Information Technology,8,750,Data Scientist,143.0,177,4.0,1,0,0,1,0
MA,Northeast,Biotech & Pharmaceuticals,171,10000,Data Scientist,86.5,110,4.0,1,0,0,1,1
OR,West,Finance,68,3000,Data Scientist,99.5,124,3.5,1,0,1,1,1
MA,Northeast,Insurance,168,7500,Data Analyst,47.5,61,3.7,0,0,0,0,1
CT,Northeast,Biotech & Pharmaceuticals,171,10000,Data Scientist,84.0,105,4.0,0,0,0,1,1
FL,Southeast,Business Services,10,750,Data Scientist,85.0,90,4.8,1,0,1,0,1
WA,West,"Oil, Gas, Energy & Utilities",55,3000,Data Scientist,76.5,97,3.8,1,0,0,0,0
MI,Midwest,Real Estate,23,3000,Data Scientist,96.0,120,3.6,1,0,0,0,0
MA,Northeast,Biotech & Pharmaceuticals,24,10000,Data Scientist,114.5,143,3.8,1,0,0,0,0
CA,West,Telecommunications,24,7500,Data Scientist,121.0,149,3.8,1,0,1,0,1
MA,Northeast,Biotech & Pharmaceuticals,46,350,Data Scientist,112.5,140,4.7,1,0,0,0,1
CA,West,Information Technology,12,350,Data Analyst,106.0,135,4.2,1,0,0,0,1
CA,West,Information Technology,51,3000,Data Scientist,107.0,132,3.5,1,0,1,1,0
MA,Northeast,Aerospace & Defense,10,350,Data Scientist,110.0,137,4.7,1,0,1,0,1
CA,West,Biotech & Pharmaceuticals,150,7500,Data Scientist,147.5,180,3.5,1,0,0,0,1
NY,Northeast,Insurance,35,350,Data Engineer,106.0,138,3.5,1,0,0,0,1
CA,West,Information Technology,12,350,Data Analyst,88.0,112,4.2,1,0,0,1,1
MA,Northeast,Health Care,0,25,Data Engineer,98.5,129,3.6,0,0,0,0,1
CA,West,Information Technology,10,125,Data Scientist,142.5,175,4.2,0,0,0,0,0
NJ,Northeast,Manufacturing,5,7500,Research Scientist,82.5,113,3.4,0,0,0,1,0
IL,Midwest,Real Estate,27,3000,Data Scientist,130.0,150,4.3,1,0,1,0,1
DC,Northeast,Information Technology,0,0,Data Scientist,155.0,160,5.0,0,0,0,1,1
WA,West,Information Technology,62,10000,Data Scientist,184.5,211,3.7,1,0,0,0,1
CO,West,Information Technology,34,7500,Data Analyst,29.5,39,3.1,0,0,0,0,1
OH,Midwest,Aerospace & Defense,21,750,Research Scientist,86.5,117,4.7,0,0,0,0,0
IL,Midwest,Manufacturing,95,10000,Data Scientist,81.0,99,3.7,0,0,0,0,0
FL,Southeast,Business Services,36,750,Data Scientist,91.0,114,3.8,1,0,0,0,1
MA,Northeast,Insurance,108,10000,Data Scientist,114.5,143,3.3,1,0,0,0,0
AL,Southeast,Aerospace & Defense,18,3000,Data Scientist,68.0,95,4.6,1,0,0,0,1
NY,Northeast,Insurance,157,10000,Data Scientist,115.0,144,3.7,1,0,0,0,1
CA,West,Aerospace & Defense,81,10000,Data Scientist,109.5,139,3.7,0,0,0,0,1
NM,Southwest,Biotech & Pharmaceuticals,150,7500,Data Scientist,75.5,95,3.5,1,0,0,0,1
CA,West,Information Technology,8,750,Data Scientist,154.5,189,4.1,1,0,1,0,1
MO,Midwest,Information Technology,4,125,Data Scientist,143.5,176,4.7,1,0,1,0,0
MD,Northeast,Finance,12,750,Data Scientist,73.5,93,4.1,0,0,0,0,1
TX,Southwest,Real Estate,20,350,Data Scientist,95.0,119,3.4,1,0,0,1,1
OH,Midwest,Mining & Metals,135,350,Data Scientist,107.0,132,4.4,1,0,0,1,0
NY,Northeast,Business Services,9,350,Data Scientist,115.0,146,4.3,1,0,1,1,0
CA,West,Finance,14,750,Data Scientist,139.5,172,3.8,0,0,0,0,0
WA,West,"Oil, Gas, Energy & Utilities",55,3000,Data Scientist,67.0,85,3.8,0,0,0,0,0
PA,Northeast,Retail,72,10000,Data Scientist,85.0,109,3.8,1,0,0,0,0
MA,Northeast,Biotech & Pharmaceuticals,14,125,Data Scientist,118.0,148,2.8,1,0,0,0,1
GA,Southeast,Information Technology,17,125,Data Scientist,79.5,99,4.7,1,0,0,0,1
MA,Northeast,Business Services,21,350,Data Scientist,56.5,72,3.1,1,0,0,0,0
PA,Northeast,Business Services,0,25,Data Scientist,128.5,161,3.2,1,0,1,1,0
WA,West,Information Technology,81,10000,Data Scientist,97.5,130,4.0,0,0,0,0,0
IN,Midwest,Information Technology,5,25,Research Scientist,66.5,81,4.4,1,0,0,0,0
IL,Midwest,Business Services,93,10000,Data Scientist,179.5,220,3.6,1,0,0,0,1
MO,Midwest,Business Services,42,750,Research Scientist,76.0,102,2.7,0,0,0,0,1
VA,Southeast,Information Technology,10,750,Data Scientist,112.0,139,3.9,1,0,1,0,0
PA,Northeast,Mining & Metals,160,3000,Data Scientist,98.0,122,3.1,1,0,0,0,0
WA,West,Information Technology,81,10000,Data Scientist,128.0,157,4.0,0,0,1,1,0
CA,West,Information Technology,9,350,Data Scientist,150.5,222,4.3,1,0,1,1,1
MA,Northeast,Biotech & Pharmaceuticals,20,125,Research Scientist,87.5,118,1.9,0,0,0,1,0
VA,Southeast,Aerospace & Defense,3,3000,Data Scientist,110.0,137,3.3,1,0,0,0,1
CA,West,Information Technology,25,10000,Data Scientist,113.5,141,4.4,1,0,0,0,1
CA,West,Health Care,4,125,Data Scientist,124.0,154,3.9,1,0,0,0,0
PA,Northeast,Business Services,23,350,Data Analyst,56.5,76,4.7,0,0,0,0,1
MD,Northeast,Aerospace & Defense,78,7500,Data Scientist,130.0,160,4.5,1,0,0,0,1
IL,Midwest,Information Technology,12,125,Data Analyst,77.5,100,4.3,0,0,0,0,1
VA,Southeast,Business Services,18,350,Data Engineer,87.0,114,4.0,1,0,0,1,1
WA,West,Business Services,72,750,Data Analyst,53.5,68,4.4,0,0,0,0,1
TX,Southwest,Retail,58,10000,Data Scientist,139.0,172,3.2,0,0,0,0,0
CA,West,Business Services,15,350,Data Scientist,114.0,142,3.8,1,0,1,1,1
FL,Southeast,Information Technology,12,750,Data Scientist,85.5,107,4.2,1,0,1,0,1
AL,Southeast,Information Technology,24,125,Research Scientist,48.0,65,4.5,0,0,0,0,1
LA,Southeast,Information Technology,21,125,Data Analyst,48.0,62,3.5,0,0,0,0,1
CA,West,Biotech & Pharmaceuticals,30,350,Research Scientist,174.0,231,3.5,0,0,0,0,1
GA,Southeast,Finance,52,7500,Data Scientist,85.0,106,3.9,1,0,1,0,0
MD,Northeast,Information Technology,17,125,Research Scientist,106.5,134,4.7,0,0,0,0,0
MD,Northeast,Information Technology,32,3000,Data Scientist,72.5,93,4.2,0,0,0,0,1
MD,Northeast,Information Technology,24,10000,Research Scientist,85.5,116,3.4,0,0,0,0,0
VA,Southeast,Government,62,7500,Data Scientist,97.5,123,3.2,1,0,0,0,1
VA,Southeast,Information Technology,10,750,Data Scientist,99.0,124,3.9,1,0,0,0,1
WI,Midwest,Insurance,19,3000,Data Analyst,56.5,73,3.1,0,0,0,0,1
MD,Northeast,Information Technology,13,25,Data Scientist,133.0,164,4.1,1,0,0,0,0
NY,Northeast,Business Services,8,125,Data Scientist,121.0,153,3.8,1,0,1,0,0
NY,Northeast,Business Services,28,750,Data Scientist,85.5,110,4.7,1,0,0,0,0
TX,Southwest,Education,5,3000,Data Scientist,87.5,110,4.3,1,0,0,0,0
DC,Northeast,Business Services,85,3000,Data Scientist,237.5,275,4.2,1,0,0,0,1
NC,Southeast,Information Technology,23,3000,Data Engineer,95.5,123,3.9,1,0,1,0,0
MI,Midwest,Manufacturing,26,10000,Data Scientist,104.5,129,3.3,1,0,1,1,1
NJ,Northeast,Information Technology,8,350,Data Analyst,56.5,72,4.7,0,0,0,0,1
